% parameters of Arrhenius law for dissociation rates
% air mixture - N2-O2-NO-N-O
% C [m^3/sec] - n - D [K]
% Park
% N2
1.162385214460072e-08	1.162385214460072e-08	1.162385214460072e-08	4.981650919114595e-08	4.981650919114595e-08
-1.6	-1.6	-1.6	-1.6	-1.6
113200	113200	113200	113200	113200
% O2
3.321100612743063e-09	3.321100612743063e-09	3.321100612743063e-09	1.660550306371531e-08	1.660550306371531e-08
-1.5	-1.5	-1.5	-1.5	-1.5
59500	59500	59500	59500	59500
% NO
8.302751531857657e-15	8.302751531857657e-15	1.826605337008685e-13	1.826605337008685e-13	1.826605337008685e-13
0	0	0	0	0
75500	75500	75500	75500	75500
